"","","10184","黒龍 秋あがり 720ml","本","","標","0","0","0","0","0","1343","0","20220830","20221023",
"","","10185","九頭龍　純米　1.8L","本","","標","0","12","6","0","6","1925","11550","20230426","20230421",
"","","10186","九頭龍　大吟醸燗酒（箱入）　1.8L","本","","標","0","0","0","0","0","3750","0","20230106","20230318",
"","","10187","九頭龍　大吟醸燗酒（箱入）　720ml","本","","標","0","0","0","0","0","1875","0","20221223","20230204",
"","","10188","紀土　純米吟醸　720ml","本","","標","28","108","109","0","27","735","19845","20230424","20230429",
"","","10189","上喜元　もち米四段仕込み　純米　1.8L","本","","標","0","0","0","0","0","1618","0","","",
"","","10190","松の司　大吟醸純米　しずく　1.8L","本","","標","0","0","0","0","0","9000","0","20161207","20161223",
"","","10191","黒龍　石田屋　720ml","本","","標","7","0","1","0","6","9000","54000","20221122","20230404",
"","","10192","黒龍　二左衛門　720ml","本","","標","6","0","1","0","5","9000","45000","20221122","20230404",
"","","10193","黒龍　八十八号　720ml","本","","標","5","0","1","0","4","4500","18000","20221122","20230404",
"","","10194","黒龍　大吟醸　しずく　1.8L","本","","標","9","0","1","0","8","8250","66000","20221107","20230404",
"","","10195","松の司 生もと純米 1.8L","本","","標","13","0","1","0","12","2025","24300","20230124","20230402",
"","","10196","九頭龍　垂れ口　1.8L","本","","標","0","0","0","0","0","1925","0","20221130","20230111",
"","","10197","九頭龍　垂れ口　720ml","本","","標","0","0","0","0","0","945","0","20221130","20230105",
"","","10198","黒龍 純米大吟醸 720ml","本","","標","28","48","51","0","25","7200","180000","20230426","20230424",
"","","10199","澤屋まつもと　RISSIMO　2016　720ml","本","","標","0","0","0","0","0","1890","0","20181025","20190415",
"","","10200","桃の滴　ＲＩＳＳＩＭＯ　360ml","本","","標","0","0","0","0","0","1000","0","","",
"","","10201","黒龍　純吟垂れ口　1.8L","本","","標","0","0","0","0","0","2410","0","20230117","20230210",
"","","10202","黒龍　純吟垂れ口　720ml","本","","標","0","0","0","0","0","1190","0","20230117","20230219",
